INSEE;NOM;NOM_COUV;COM/EPCI;POP;STRATE;X;Y;NOM2;CP
12046;Camjac;Camjac;COM;574;1;266599;5493222.338;Camjac (12800);12800
12047;Campagnac;Campagnac;COM;450;0;343774;5527760.213;Campagnac (12560);12560
12048;Campouriez;Campouriez;COM;341;0;290469;5571394.532;Campouriez (12140);12140
12049;Campuac;Campuac;COM;457;0;287698;5553554.601;Campuac (12580);12580
12050;Canet-de-Salars;Canet-de-Salars;COM;447;0;304818;5501529.154;Canet-de-Salars (12290);12290
12051;Cantoin;Cantoin;COM;310;0;314463;5596246.843;Cantoin (12420);12420
12052;Capdenac-Gare;Capdenac-Gare;COM;4400;3;230306;5552549.687;Capdenac-Gare (12700);12700
12053;La Capelle-Balaguier;La Capelle-Balaguier;COM;337;0;214360;5533666.654;La Capelle-Balaguier (12260);12260
12054;La Capelle-Bleys;La Capelle-Bleys;COM;347;0;242555;5512548.543;La Capelle-Bleys (12240);12240
12055;La Capelle-Bonance;La Capelle-Bonance;COM;83;0;336781;5535593.315;La Capelle-Bonance (12130);12130
12056;Baraqueville;Baraqueville;COM;3158;3;272676;5509083.085;Baraqueville (12160);12160
12057;Cassagnes-Bégonhès;Cassagnes-Bégonhès;COM;936;1;279925;5493167.352;Cassagnes-Bégonhès (12120);12120
12058;Cassuéjouls;Cassuéjouls;COM;105;0;313015;5577997.461;Cassuéjouls (12210);12210
12059;Castanet;Castanet;COM;516;1;256933;5510869.279;Castanet (12240);12240
12060;Castelmary;Castelmary;COM;113;0;249914;5492151.274;Castelmary (12800);12800
12061;Castelnau-de-Mandailles;Castelnau-de-Mandailles;COM;570;1;321413;5548021.392;Castelnau-de-Mandailles (12500);12500
12062;Castelnau-Pégayrols;Castelnau-Pégayrols;COM;348;0;325904;5487234.847;Castelnau-Pégayrols (12620);12620
12063;La Cavalerie;La Cavalerie;COM;2188;2;354402;5467242.552;La Cavalerie (12230);12230
12064;Le Cayrol;Le Cayrol;COM;274;0;309892;5556521.723;Le Cayrol (12500);12500
12065;Centrès;Centrès;COM;464;0;271693;5491426.081;Centrès (12120);12120
12066;Clairvaux-d'Aveyron;Clairvaux-d'Aveyron;COM;1146;2;268115;5528585.511;Clairvaux-d'Aveyron (12330);12330
12067;Le Clapier;Le Clapier;COM;75;0;353266;5438942.272;Le Clapier (12540);12540
12068;Colombiès;Colombiès;COM;872;1;259099;5518753.994;Colombiès (12240);12240
12069;Combret;Combret;COM;261;0;298926;5440773.087;Combret (12370);12370
12070;Compeyre;Compeyre;COM;518;1;345378;5492650.978;Compeyre (12520);12520
12071;Compolibat;Compolibat;COM;337;0;243437;5524302.787;Compolibat (12350);12350
12072;Comprégnac;Comprégnac;COM;228;0;331684;5480319.407;Comprégnac (12100);12100
12073;Comps-la-Grand-Ville;Comps-la-Grand-Ville;COM;628;1;285993;5500190.471;Comps-la-Grand-Ville (12120);12120
12074;Condom-d'Aubrac;Condom-d'Aubrac;COM;292;0;320778;5559682.398;Condom-d'Aubrac (12470);12470
12075;Connac;Connac;COM;104;0;288761;5468701.835;Connac (12170);12170
12076;Conques-en-Rouergue;Conques-en-Rouergue;COM;1586;2;266043;5556343.543;Conques-en-Rouergue (12320);12320
12077;Cornus;Cornus;COM;514;1;356296;5448816.38;Cornus (12540);12540
12078;Les Costes-Gozon;Les Costes-Gozon;COM;180;0;311758;5467982.959;Les Costes-Gozon (12400);12400
12079;Coubisou;Coubisou;COM;488;0;304155;5555011.928;Coubisou (12190);12190
12080;Coupiac;Coupiac;COM;363;0;288709;5457321.044;Coupiac (12550);12550
12082;La Couvertoirade;La Couvertoirade;COM;191;0;366045;5454508.273;La Couvertoirade (12230);12230
12083;Cransac;Cransac;COM;1472;2;254610;5546084.551;Cransac (12110);12110
12084;Creissels;Creissels;COM;1558;2;340631;5475482.92;Creissels (12100);12100
12085;Crespin;Crespin;COM;315;0;251184;5489261.044;Crespin (12800);12800
12086;La Cresse;La Cresse;COM;323;0;351447;5491424.176;La Cresse (12640);12640
12088;Curières;Curières;COM;223;0;321936;5566511.199;Curières (12210);12210
12089;Decazeville;Decazeville;COM;5196;3;250787;5553585.821;Decazeville (12300);12300
12090;Druelle Balsac;Druelle Balsac;COM;3196;3;274987;5523327.54;Druelle Balsac (12000);12000
12091;Drulhe;Drulhe;COM;458;0;237640;5536191.644;Drulhe (12350);12350
12092;Durenque;Durenque;COM;523;1;291849;5481077.216;Durenque (12170);12170
12093;Le Fel;Le Fel;COM;181;0;280257;5569678.465;Le Fel (12140);12140
12094;Entraygues-sur-Truyère;Entraygues-sur-Truyère;COM;981;1;287033;5567300.398;Entraygues-sur-Truyère (12140);12140
12095;Escandolières;Escandolières;COM;242;0;261599;5538727.803;Escandolières (12390);12390
12096;Espalion;Espalion;COM;4643;3;307711;5546127.946;Espalion (12500);12500
12097;Espeyrac;Espeyrac;COM;250;0;280505;5561762.189;Espeyrac (12140);12140
12098;Estaing;Estaing;COM;476;0;299109;5553990.954;Estaing (12190);12190
12099;Fayet;Fayet;COM;238;0;331452;5435044.152;Fayet (12360);12360
12100;Firmi;Firmi;COM;2363;2;258850;5550527.446;Firmi (12300);12300
12101;Flagnac;Flagnac;COM;1081;2;252120;5557737.271;Flagnac (12300);12300
12102;Flavin;Flavin;COM;2365;2;291853;5510178.431;Flavin (12450);12450
